basomrade,year,cumulative_immigration_surplus,gender
1110230_surbrunnsomradet,2008,-65,both
1110230_surbrunnsomradet,2009,-89,both
1110230_surbrunnsomradet,2010,-88,both
1110230_surbrunnsomradet,2011,-76,both
1110230_surbrunnsomradet,2012,-94,both
1110230_surbrunnsomradet,2013,-42,both
1110230_surbrunnsomradet,2014,-37,both
1110240_norra_real,2000,-17,both
1110240_norra_real,2001,-13,both
1110240_norra_real,2002,-29,both
1110240_norra_real,2003,-37,both
1110240_norra_real,2004,-16,both
1110240_norra_real,2005,-29,both
1110240_norra_real,2006,-57,both
1110240_norra_real,2007,-101,both
1110240_norra_real,2008,-103,both
1110240_norra_real,2009,-129,both
1110240_norra_real,2010,-122,both
1110240_norra_real,2011,-166,both
1110240_norra_real,2012,-185,both
1110240_norra_real,2013,-172,both
1110240_norra_real,2014,-186,both
1110250_elverket,2000,3,both
1110250_elverket,2001,-1,both
1110250_elverket,2002,-8,both
1110250_elverket,2003,-34,both
1110250_elverket,2004,-38,both
1110250_elverket,2005,-34,both
1110250_elverket,2006,-43,both
1110250_elverket,2007,-35,both
1110250_elverket,2008,-43,both
1110250_elverket,2009,-41,both
1110250_elverket,2010,-47,both
1110250_elverket,2011,-55,both
1110250_elverket,2012,-68,both
1110250_elverket,2013,-83,both
1110250_elverket,2014,-104,both
1120110_tegnerlunden,2000,-21,both
1120110_tegnerlunden,2001,-16,both
1120110_tegnerlunden,2002,17,both
1120110_tegnerlunden,2003,21,both
1120110_tegnerlunden,2004,5,both
1120110_tegnerlunden,2005,0,both
1120110_tegnerlunden,2006,2,both
1120110_tegnerlunden,2007,-8,both
1120110_tegnerlunden,2008,-28,both
1120110_tegnerlunden,2009,-65,both
1120110_tegnerlunden,2010,-90,both
1120110_tegnerlunden,2011,-37,both
1120110_tegnerlunden,2012,-71,both
1120110_tegnerlunden,2013,-97,both
1120110_tegnerlunden,2014,-125,both
1120120_tandlakarhogskolan,2000,-8,both
1120120_tandlakarhogskolan,2001,-17,both
1120120_tandlakarhogskolan,2002,-4,both
1120120_tandlakarhogskolan,2003,-1,both
1120120_tandlakarhogskolan,2004,12,both
1120120_tandlakarhogskolan,2005,8,both
1120120_tandlakarhogskolan,2006,11,both
1120120_tandlakarhogskolan,2007,-1,both
1120120_tandlakarhogskolan,2008,18,both
1120120_tandlakarhogskolan,2009,0,both
1120120_tandlakarhogskolan,2010,2,both
1120120_tandlakarhogskolan,2011,-15,both
1120120_tandlakarhogskolan,2012,31,both
1120120_tandlakarhogskolan,2013,32,both
1120120_tandlakarhogskolan,2014,37,both
1120131_norra_bantorget_o,2000,-16,both
1120131_norra_bantorget_o,2001,-11,both
1120131_norra_bantorget_o,2002,-29,both
1120131_norra_bantorget_o,2003,-19,both
1120131_norra_bantorget_o,2004,-32,both
1120131_norra_bantorget_o,2005,-20,both
1120131_norra_bantorget_o,2006,-19,both
1120131_norra_bantorget_o,2007,-27,both
1120131_norra_bantorget_o,2008,82,both
1120131_norra_bantorget_o,2009,134,both
1120131_norra_bantorget_o,2010,151,both
1120131_norra_bantorget_o,2011,136,both
1120131_norra_bantorget_o,2012,137,both
1120131_norra_bantorget_o,2013,105,both
1120131_norra_bantorget_o,2014,123,both
1120132_norra_bantorget_v,2010,34,both
1120132_norra_bantorget_v,2011,43,both
1120132_norra_bantorget_v,2012,51,both
1120132_norra_bantorget_v,2013,50,both
1120132_norra_bantorget_v,2014,39,both
1120140_adolf_fredriks_kyrka,2000,5,both
