basomrade,year,mean_income_aged_lt_20,gender
4133920_fresta_sodra_glesbygd,2012,282082.09,both
4133920_fresta_sodra_glesbygd,2013,287414.22,both
4133920_fresta_sodra_glesbygd,2014,308556.92,both
4210110_centrala_vallentuna,2000,172408.91,both
4210110_centrala_vallentuna,2001,181302.54,both
4210110_centrala_vallentuna,2002,186390.74,both
4210110_centrala_vallentuna,2003,191845.27,both
4210110_centrala_vallentuna,2004,198518.19,both
4210110_centrala_vallentuna,2005,201794.65,both
4210110_centrala_vallentuna,2006,205359.6,both
4210110_centrala_vallentuna,2007,215179.83,both
4210110_centrala_vallentuna,2008,221110.33,both
4210110_centrala_vallentuna,2009,226714.65,both
4210110_centrala_vallentuna,2010,229201.5,both
4210110_centrala_vallentuna,2011,232549.19,both
4210110_centrala_vallentuna,2012,238677.16,both
4210110_centrala_vallentuna,2013,244168.42,both
4210110_centrala_vallentuna,2014,248118.75,both
4210210_norra_vallentuna_tatort,2000,224909.27,both
4210210_norra_vallentuna_tatort,2001,231400.02,both
4210210_norra_vallentuna_tatort,2002,237676.18,both
4210210_norra_vallentuna_tatort,2003,239108.21,both
4210210_norra_vallentuna_tatort,2004,241572.59,both
4210210_norra_vallentuna_tatort,2005,246311.85,both
4210210_norra_vallentuna_tatort,2006,255284.52,both
4210210_norra_vallentuna_tatort,2007,263979.1,both
4210210_norra_vallentuna_tatort,2008,272311.24,both
4210210_norra_vallentuna_tatort,2009,270646.32,both
4210210_norra_vallentuna_tatort,2010,268602.55,both
4210210_norra_vallentuna_tatort,2011,279246.05,both
4210210_norra_vallentuna_tatort,2012,286296.92,both
4210210_norra_vallentuna_tatort,2013,295735.88,both
4210210_norra_vallentuna_tatort,2014,299467.08,both
4210220_nv_a_vallentuna_tatort,2000,245905.73,both
4210220_nv_a_vallentuna_tatort,2001,264044.44,both
4210220_nv_a_vallentuna_tatort,2002,264576.06,both
4210220_nv_a_vallentuna_tatort,2003,277791.34,both
4210220_nv_a_vallentuna_tatort,2004,278791.98,both
4210220_nv_a_vallentuna_tatort,2005,290066.15,both
4210220_nv_a_vallentuna_tatort,2006,295679.08,both
4210220_nv_a_vallentuna_tatort,2007,311996.17,both
4210220_nv_a_vallentuna_tatort,2008,324216.23,both
4210220_nv_a_vallentuna_tatort,2009,331831.99,both
4210220_nv_a_vallentuna_tatort,2010,337302.46,both
4210220_nv_a_vallentuna_tatort,2011,349412.63,both
4210220_nv_a_vallentuna_tatort,2012,359274.54,both
4210220_nv_a_vallentuna_tatort,2013,365463.22,both
4210220_nv_a_vallentuna_tatort,2014,372873.99,both
4210320_ostra_ormsta,2000,240391.85,both
4210320_ostra_ormsta,2001,258804.74,both
4210320_ostra_ormsta,2002,268589.49,both
4210320_ostra_ormsta,2003,274321.34,both
4210320_ostra_ormsta,2004,280607.13,both
4210320_ostra_ormsta,2005,293756.51,both
4210320_ostra_ormsta,2006,304852.34,both
4210320_ostra_ormsta,2007,315447.37,both
4210320_ostra_ormsta,2008,331034.59,both
4210320_ostra_ormsta,2009,330806.48,both
4210320_ostra_ormsta,2010,337382.93,both
4210320_ostra_ormsta,2011,345438.77,both
4210320_ostra_ormsta,2012,356505.6,both
4210320_ostra_ormsta,2013,358398.96,both
4210320_ostra_ormsta,2014,366610.32,both
4210330_vastra_ormsta,2000,252823.2,both
4210330_vastra_ormsta,2001,263735.61,both
4210330_vastra_ormsta,2002,269711.42,both
4210330_vastra_ormsta,2003,276585.3,both
4210330_vastra_ormsta,2004,278583.24,both
4210330_vastra_ormsta,2005,286955.17,both
4210330_vastra_ormsta,2006,288211.77,both
4210330_vastra_ormsta,2007,301913.4,both
4210330_vastra_ormsta,2008,312959.16,both
4210330_vastra_ormsta,2009,314756.38,both
4210330_vastra_ormsta,2010,318814.01,both
4210330_vastra_ormsta,2011,321947.62,both
4210330_vastra_ormsta,2012,330638.83,both
4210330_vastra_ormsta,2013,340502.06,both
4210330_vastra_ormsta,2014,346135.88,both
4210340_aby_bostadsomr,2000,138571.67,both
4210340_aby_bostadsomr,2001,146702.42,both
4210340_aby_bostadsomr,2002,149384.3,both
4210340_aby_bostadsomr,2003,155829.57,both
4210340_aby_bostadsomr,2004,156549.26,both
4210340_aby_bostadsomr,2005,166258.84,both
4210340_aby_bostadsomr,2006,171982.01,both
4210340_aby_bostadsomr,2007,183428.99,both
4210340_aby_bostadsomr,2008,191442.64,both
4210340_aby_bostadsomr,2009,196819.62,both
4210340_aby_bostadsomr,2010,217196.15,both
4210340_aby_bostadsomr,2011,231533.54,both
4210340_aby_bostadsomr,2012,238296.77,both
4210340_aby_bostadsomr,2013,250048.2,both
4210340_aby_bostadsomr,2014,253810.62,both
4210410_vastra_ballsta,2000,278222.41,both
4210410_vastra_ballsta,2001,291102.68,both
4210410_vastra_ballsta,2002,299266.97,both
4210410_vastra_ballsta,2003,298814.73,both
4210410_vastra_ballsta,2004,303691.59,both
4210410_vastra_ballsta,2005,313733.43,both
4210410_vastra_ballsta,2006,328014.9,both
4210410_vastra_ballsta,2007,340727.24,both
4210410_vastra_ballsta,2008,353501.54,both
4210410_vastra_ballsta,2009,364084.11,both
4210410_vastra_ballsta,2010,363045.01,both
4210410_vastra_ballsta,2011,374724.56,both
4210410_vastra_ballsta,2012,392564.17,both
4210410_vastra_ballsta,2013,399858.01,both
4210410_vastra_ballsta,2014,412888.87,both
4210420_kragstalund,2000,227896.37,both
4210420_kragstalund,2001,239736.59,both
4210420_kragstalund,2002,240719.02,both
4210420_kragstalund,2003,252233.8,both
4210420_kragstalund,2004,262447.52,both
4210420_kragstalund,2005,270662.7,both
4210420_kragstalund,2006,285399.06,both
4210420_kragstalund,2007,302118.12,both
4210420_kragstalund,2008,315832.4,both
4210420_kragstalund,2009,320665.19,both
4210420_kragstalund,2010,326248.66,both
4210420_kragstalund,2011,333901.57,both
4210420_kragstalund,2012,345518.31,both
4210420_kragstalund,2013,351285.13,both
4210420_kragstalund,2014,361067.57,both
4210430_ballstaberg,2000,220001.4,both
4210430_ballstaberg,2001,236672.22,both
4210430_ballstaberg,2002,256465.66,both
4210430_ballstaberg,2003,261981.44,both
4210430_ballstaberg,2004,274457.08,both
4210430_ballstaberg,2005,287847.67,both
4210430_ballstaberg,2006,301797.5,both
4210430_ballstaberg,2007,318311.83,both
4210430_ballstaberg,2008,343438.86,both
4210430_ballstaberg,2009,345121.78,both
4210430_ballstaberg,2010,350589.26,both
4210430_ballstaberg,2011,359035.02,both
4210430_ballstaberg,2012,371693.53,both
4210430_ballstaberg,2013,379640.02,both
4210430_ballstaberg,2014,390493.95,both
4210440_okand,2000,261092.19,both
4210440_okand,2001,268843.68,both
4210440_okand,2002,280253.99,both
4210440_okand,2003,284835.08,both
4210440_okand,2004,290095.65,both
4210440_okand,2005,300562.04,both
4210440_okand,2006,308960.36,both
4210440_okand,2007,319606.88,both
4210440_okand,2008,329015.79,both
4210440_okand,2009,336071.22,both
4210510_vallentuna_glesbygd_v,2000,213499.33,both
4210510_vallentuna_glesbygd_v,2001,216291.43,both
4210510_vallentuna_glesbygd_v,2002,229905.51,both
4210510_vallentuna_glesbygd_v,2003,224961.68,both
4210510_vallentuna_glesbygd_v,2004,224925.49,both
4210510_vallentuna_glesbygd_v,2005,241743.27,both
4210510_vallentuna_glesbygd_v,2006,243425.98,both
4210510_vallentuna_glesbygd_v,2007,259933.39,both
4210510_vallentuna_glesbygd_v,2008,274012.67,both
4210510_vallentuna_glesbygd_v,2009,281719.73,both
4210510_vallentuna_glesbygd_v,2010,295653.74,both
4210510_vallentuna_glesbygd_v,2011,291997.03,both
4210510_vallentuna_glesbygd_v,2012,300632.04,both
4210510_vallentuna_glesbygd_v,2013,293360.25,both
4210510_vallentuna_glesbygd_v,2014,303016.45,both
4210530_vallentuna_glesbygd_no,2000,191646.7,both
4210530_vallentuna_glesbygd_no,2001,202657.83,both
4210530_vallentuna_glesbygd_no,2002,213639.17,both
4210530_vallentuna_glesbygd_no,2003,220717.72,both
4210530_vallentuna_glesbygd_no,2004,218521.51,both
4210530_vallentuna_glesbygd_no,2005,230088.25,both
4210530_vallentuna_glesbygd_no,2006,249158.73,both
4210530_vallentuna_glesbygd_no,2007,271749.48,both
4210530_vallentuna_glesbygd_no,2008,279409.52,both
4210530_vallentuna_glesbygd_no,2009,277830.99,both
4210530_vallentuna_glesbygd_no,2010,289412.21,both
4210530_vallentuna_glesbygd_no,2011,304605.18,both
4210530_vallentuna_glesbygd_no,2012,331477.26,both
4210530_vallentuna_glesbygd_no,2013,343165.59,both
4210530_vallentuna_glesbygd_no,2014,353944.34,both
4210540_okand,2000,169447.98,both
4210540_okand,2001,179399.45,both
4210540_okand,2002,188969.66,both
4210540_okand,2003,197293.85,both
4210540_okand,2004,206385.56,both
4210540_okand,2005,203690.42,both
4210540_okand,2006,229128.57,both
4210540_okand,2007,226961.86,both
4210540_okand,2008,247323.51,both
4210540_okand,2009,252370.99,both
4220000_markims_forsamling,2000,182088.13,both
4220000_markims_forsamling,2001,203469.79,both
4220000_markims_forsamling,2002,207529.49,both
4220000_markims_forsamling,2003,209246.27,both
