basomrade,year,population_20xx_12_31,gender
4122530_carlslund,2014,2061,both
4122540_brunnby,2000,936,both
4122540_brunnby,2001,956,both
4122540_brunnby,2002,954,both
4122540_brunnby,2003,959,both
4122540_brunnby,2004,975,both
4122540_brunnby,2005,986,both
4122540_brunnby,2006,1020,both
4122540_brunnby,2007,1007,both
4122540_brunnby,2008,1035,both
4122540_brunnby,2009,1041,both
4122540_brunnby,2010,1027,both
4122540_brunnby,2011,1021,both
4122540_brunnby,2012,1023,both
4122540_brunnby,2013,1022,both
4122540_brunnby,2014,998,both
4122600_vastra_odenslunda,2000,1273,both
4122600_vastra_odenslunda,2001,1279,both
4122600_vastra_odenslunda,2002,1270,both
4122600_vastra_odenslunda,2003,1264,both
4122600_vastra_odenslunda,2004,1276,both
4122600_vastra_odenslunda,2005,1277,both
4122600_vastra_odenslunda,2006,1305,both
4122600_vastra_odenslunda,2007,1334,both
4122600_vastra_odenslunda,2008,1337,both
4122600_vastra_odenslunda,2009,1341,both
4122600_vastra_odenslunda,2010,1330,both
4122600_vastra_odenslunda,2011,1328,both
4122600_vastra_odenslunda,2012,1341,both
4122600_vastra_odenslunda,2013,1344,both
4122600_vastra_odenslunda,2014,1368,both
4133110_sanda,2000,34,both
4133110_sanda,2001,35,both
4133110_sanda,2002,32,both
4133110_sanda,2003,20,both
4133110_sanda,2004,65,both
4133110_sanda,2005,51,both
4133110_sanda,2006,55,both
4133110_sanda,2007,53,both
4133110_sanda,2008,159,both
4133110_sanda,2009,371,both
4133110_sanda,2010,438,both
4133110_sanda,2011,510,both
4133110_sanda,2012,619,both
4133110_sanda,2013,698,both
4133110_sanda,2014,750,both
4133120_ostra_odenslunda,2000,1720,both
4133120_ostra_odenslunda,2001,1723,both
4133120_ostra_odenslunda,2002,1713,both
4133120_ostra_odenslunda,2003,1724,both
4133120_ostra_odenslunda,2004,1790,both
4133120_ostra_odenslunda,2005,1875,both
4133120_ostra_odenslunda,2006,1846,both
4133120_ostra_odenslunda,2007,1865,both
4133120_ostra_odenslunda,2008,1872,both
4133120_ostra_odenslunda,2009,1886,both
4133120_ostra_odenslunda,2010,1866,both
4133120_ostra_odenslunda,2011,1886,both
4133120_ostra_odenslunda,2012,1911,both
4133120_ostra_odenslunda,2013,1897,both
4133120_ostra_odenslunda,2014,1907,both
4133200_frestaby,2000,1723,both
4133200_frestaby,2001,1680,both
4133200_frestaby,2002,1682,both
4133200_frestaby,2003,1672,both
4133200_frestaby,2004,1654,both
4133200_frestaby,2005,1670,both
4133200_frestaby,2006,1702,both
4133200_frestaby,2007,1817,both
4133200_frestaby,2008,1821,both
4133200_frestaby,2009,1874,both
4133200_frestaby,2010,1850,both
4133200_frestaby,2011,1875,both
4133200_frestaby,2012,1860,both
4133200_frestaby,2013,1881,both
4133200_frestaby,2014,1948,both
4133310_vastra_bollstanas,2000,1546,both
4133310_vastra_bollstanas,2001,1526,both
4133310_vastra_bollstanas,2002,1508,both
4133310_vastra_bollstanas,2003,1472,both
4133310_vastra_bollstanas,2004,1467,both
4133310_vastra_bollstanas,2005,1486,both
4133310_vastra_bollstanas,2006,1485,both
4133310_vastra_bollstanas,2007,1509,both
4133310_vastra_bollstanas,2008,1553,both
4133310_vastra_bollstanas,2009,1552,both
4133310_vastra_bollstanas,2010,1583,both
4133310_vastra_bollstanas,2011,1586,both
4133310_vastra_bollstanas,2012,1633,both
4133310_vastra_bollstanas,2013,1626,both
4133310_vastra_bollstanas,2014,1639,both
4133330_ostra_bollstanas,2000,3678,both
4133330_ostra_bollstanas,2001,3627,both
4133330_ostra_bollstanas,2002,3697,both
4133330_ostra_bollstanas,2003,3731,both
4133330_ostra_bollstanas,2004,3750,both
4133330_ostra_bollstanas,2005,3842,both
4133330_ostra_bollstanas,2006,3910,both
4133330_ostra_bollstanas,2007,3870,both
4133330_ostra_bollstanas,2008,3845,both
4133330_ostra_bollstanas,2009,3844,both
4133330_ostra_bollstanas,2010,3887,both
4133330_ostra_bollstanas,2011,3917,both
4133330_ostra_bollstanas,2012,3920,both
4133330_ostra_bollstanas,2013,3921,both
4133330_ostra_bollstanas,2014,3947,both
4133350_sodra_bollstanas,2000,1186,both
4133350_sodra_bollstanas,2001,1261,both
4133350_sodra_bollstanas,2002,1262,both
4133350_sodra_bollstanas,2003,1281,both
4133350_sodra_bollstanas,2004,1329,both
4133350_sodra_bollstanas,2005,1365,both
4133350_sodra_bollstanas,2006,1392,both
4133350_sodra_bollstanas,2007,1399,both
4133350_sodra_bollstanas,2008,1400,both
4133350_sodra_bollstanas,2009,1385,both
4133350_sodra_bollstanas,2010,1388,both
4133350_sodra_bollstanas,2011,1390,both
4133350_sodra_bollstanas,2012,1375,both
4133350_sodra_bollstanas,2013,1386,both
4133350_sodra_bollstanas,2014,1392,both
4133910_fresta_norra_glesbygd,2000,337,both
4133910_fresta_norra_glesbygd,2001,361,both
4133910_fresta_norra_glesbygd,2002,408,both
4133910_fresta_norra_glesbygd,2003,465,both
4133910_fresta_norra_glesbygd,2004,472,both
4133910_fresta_norra_glesbygd,2005,496,both
4133910_fresta_norra_glesbygd,2006,520,both
4133910_fresta_norra_glesbygd,2007,525,both
4133910_fresta_norra_glesbygd,2008,543,both
4133910_fresta_norra_glesbygd,2009,530,both
4133910_fresta_norra_glesbygd,2010,528,both
4133910_fresta_norra_glesbygd,2011,533,both
4133910_fresta_norra_glesbygd,2012,535,both
4133910_fresta_norra_glesbygd,2013,544,both
4133910_fresta_norra_glesbygd,2014,544,both
4133920_fresta_sodra_glesbygd,2000,135,both
4133920_fresta_sodra_glesbygd,2001,138,both
4133920_fresta_sodra_glesbygd,2002,133,both
4133920_fresta_sodra_glesbygd,2003,130,both
4133920_fresta_sodra_glesbygd,2004,147,both
4133920_fresta_sodra_glesbygd,2005,149,both
4133920_fresta_sodra_glesbygd,2006,142,both
4133920_fresta_sodra_glesbygd,2007,150,both
4133920_fresta_sodra_glesbygd,2008,144,both
4133920_fresta_sodra_glesbygd,2009,144,both
4133920_fresta_sodra_glesbygd,2010,145,both
4133920_fresta_sodra_glesbygd,2011,157,both
4133920_fresta_sodra_glesbygd,2012,172,both
4133920_fresta_sodra_glesbygd,2013,169,both
4133920_fresta_sodra_glesbygd,2014,169,both
4210110_centrala_vallentuna,2000,3168,both
4210110_centrala_vallentuna,2001,3152,both
4210110_centrala_vallentuna,2002,3255,both
4210110_centrala_vallentuna,2003,3285,both
4210110_centrala_vallentuna,2004,3268,both
4210110_centrala_vallentuna,2005,3241,both
4210110_centrala_vallentuna,2006,3246,both
4210110_centrala_vallentuna,2007,3248,both
4210110_centrala_vallentuna,2008,3310,both
4210110_centrala_vallentuna,2009,3258,both
4210110_centrala_vallentuna,2010,3289,both
4210110_centrala_vallentuna,2011,3293,both
4210110_centrala_vallentuna,2012,3368,both
4210110_centrala_vallentuna,2013,3371,both
4210110_centrala_vallentuna,2014,3369,both
4210210_norra_vallentuna_tatort,2000,2223,both
4210210_norra_vallentuna_tatort,2001,2316,both
4210210_norra_vallentuna_tatort,2002,2274,both
4210210_norra_vallentuna_tatort,2003,2233,both
4210210_norra_vallentuna_tatort,2004,2260,both
4210210_norra_vallentuna_tatort,2005,2268,both
4210210_norra_vallentuna_tatort,2006,2241,both
4210210_norra_vallentuna_tatort,2007,2220,both
4210210_norra_vallentuna_tatort,2008,2207,both
4210210_norra_vallentuna_tatort,2009,2211,both
4210210_norra_vallentuna_tatort,2010,2269,both
4210210_norra_vallentuna_tatort,2011,2261,both
4210210_norra_vallentuna_tatort,2012,2233,both
4210210_norra_vallentuna_tatort,2013,2195,both
4210210_norra_vallentuna_tatort,2014,2196,both
4210220_nv_a_vallentuna_tatort,2000,1606,both
4210220_nv_a_vallentuna_tatort,2001,1623,both
4210220_nv_a_vallentuna_tatort,2002,1632,both
4210220_nv_a_vallentuna_tatort,2003,1636,both
4210220_nv_a_vallentuna_tatort,2004,1675,both
4210220_nv_a_vallentuna_tatort,2005,1666,both
4210220_nv_a_vallentuna_tatort,2006,1723,both
4210220_nv_a_vallentuna_tatort,2007,1914,both
4210220_nv_a_vallentuna_tatort,2008,2063,both
4210220_nv_a_vallentuna_tatort,2009,2211,both
4210220_nv_a_vallentuna_tatort,2010,2341,both
4210220_nv_a_vallentuna_tatort,2011,2407,both
4210220_nv_a_vallentuna_tatort,2012,2503,both
4210220_nv_a_vallentuna_tatort,2013,2539,both
4210220_nv_a_vallentuna_tatort,2014,2594,both
4210320_ostra_ormsta,2000,1791,both
4210320_ostra_ormsta,2001,1869,both
4210320_ostra_ormsta,2002,1861,both
4210320_ostra_ormsta,2003,1898,both
4210320_ostra_ormsta,2004,1904,both
4210320_ostra_ormsta,2005,1875,both
4210320_ostra_ormsta,2006,1862,both
4210320_ostra_ormsta,2007,1863,both
4210320_ostra_ormsta,2008,1907,both
4210320_ostra_ormsta,2009,1898,both
4210320_ostra_ormsta,2010,1937,both
4210320_ostra_ormsta,2011,1969,both
4210320_ostra_ormsta,2012,1983,both
4210320_ostra_ormsta,2013,2034,both
